country.name,country.code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,15.80320095,18.15042475,18.53074823,18.90153341,,,18.60699507,18.49800087,18.20952454,
Afghanistan,AFG,0.001878513,0.001831902,0.003570876,0.005207761,,0.004886478,0.004727136,0.004579031,0.020947642,0.02539529
Angola,AGO,0.055720423,0.07326482,0.066520183,0.064187239,0.065309402,0.081733652,0.085705472,0.325960182,0.551237728,0.427352311
Albania,ALB,0.330698001,2.139286969,3.105343723,3.58912099,4.380763184,5.48239253,6.254106746,7.120165025,8.307928706,9.1027793
Andorra,AND,22.40605687,24.65031421,27.16132699,29.01396109,30.76142374,32.63941964,34.32935584,36.31521149,39.34422027,42.04138145
Arab World,ARB,0.89296325,1.303784483,1.954407384,2.091269715,2.669894656,3.029412529,3.390178048,3.893853589,4.581421962,5.014216151
United Arab Emirates,ARE,6.283848276,8.087532879,9.005851905,9.513336503,9.99677716,10.72965612,11.56899371,12.03592777,13.48488394,13.99826659
Argentina,ARG,6.504842205,7.71311722,8.605580959,9.771610825,10.97543337,12.23036065,14.69447819,15.16805073,15.79039594,16.49367591
Armenia,ARM,0.132967117,0.474482673,1.380884198,3.252550732,5.584019369,7.358040919,8.400112113,9.389688324,9.815697904,10.22867763
American Samoa,ASM,,,,,,,,,,
Antigua and Barbuda,ATG,2.479727733,5.391552585,17.11244804,7.520520595,6.268347977,13.50527501,15.99505234,10.87635904,10.00770593,9.172667215
Australia,AUS,,24.90337,24.01669991,24.90951202,24.69772973,25.12942751,25.83503958,27.84277929,28.68961085,30.56472875
Austria,AUT,19.51446519,20.73526108,22.44343455,24.38064725,24.79590688,25.009545,26.02654159,27.32468303,28.29354818,28.96304317
Azerbaijan,AZE,0.167348593,0.68012498,1.12052263,5.262078746,10.6475907,14.78258251,18.24319177,19.97175647,19.75003026,18.54593591
Burundi,BDI,,0.001948306,0.001884785,0.004015089,0.005495655,0.007532423,0.015978857,0.017185969,0.035679024,0.03748533
Belgium,BEL,25.51566742,27.66909855,29.03478636,30.83667139,32.1777199,33.31070821,34.33541568,35.75312806,36.50842403,37.59611297
Benin,BEN,0.008397606,0.096861922,0.213098116,0.293871496,0.396742263,0.429235412,0.424581019,0.441530783,0.692731964,0.204970467
Burkina Faso,BFA,0.047235406,0.069885579,0.078904444,0.087823194,0.087446113,0.086463178,0.075922277,0.030598243,0.039810887,0.04638957
Bangladesh,BGD,0.029706565,0.033600838,0.210494576,0.272475483,0.304394885,0.385585541,0.968022145,1.940444519,3.035305898,4.045616992
Bulgaria,BGR,8.313469537,11.23188845,13.3856087,15.18953784,17.0848234,18.21718506,19.56405745,20.50483617,22.49480174,23.80412856
Bahrain,BHR,6.588820638,8.399321724,11.77296083,12.48422468,22.80591957,22.71828472,22.8108173,21.51845597,18.44517095,16.29348338
"Bahamas, The",BHS,5.988408778,7.313379757,8.901920779,6.845845158,4.227319351,20.9467287,19.21588379,20.19211396,20.94365083,21.40903607
Bosnia and Herzegovina,BIH,2.244064653,5.007441016,7.796830213,10.50223477,11.66339782,12.86653692,14.31634239,15.21045137,17.95797522,18.8371527
Belarus,BLR,1.780522402,5.027488787,11.51446848,17.59335489,22.1583989,26.7305128,29.38992301,28.30141454,30.60896889,32.35775749
Belize,BLZ,2.506643611,2.62832133,2.656651663,2.772008159,2.946001118,2.961975165,2.876393525,2.814947085,4.837066643,5.995301863
Bermuda,BMU,44.37989274,52.54158607,62.20549586,62.69935581,,,63.8830033,55.67471386,48.38475558,
Bolivia,BOL,0.359870799,0.826199979,0.985105876,0.96738918,0.729703286,1.139837429,1.481673927,1.635868197,1.68723522,2.641367715
Brazil,BRA,3.983450748,5.190674889,6.018592091,7.165222223,8.975463419,9.533083511,10.55322334,11.73692977,12.37241075,12.88331081
Barbados,BRB,17.06789788,17.74707106,20.57851833,20.09879493,22.32137448,23.75268569,23.99852748,27.42911587,27.53846533,32.43554295
Brunei Darussalam,BRN,3.098990567,4.453766889,5.218984189,5.583000139,5.884323614,4.965378188,6.79218961,7.349697841,8.244679577,8.534107128
Bhutan,BTN,,0.293886868,0.472805959,1.192208795,1.787011654,2.226658008,2.677391396,3.217086012,3.540068023,2.0668994
Botswana,BWA,0.184912981,0.45726593,0.505080606,0.594481221,0.932317867,1.064272261,1.014326004,1.535110877,1.667800563,2.624452286
Central African Republic,CAF,,,,,0.018095896,0.013473139,,,0.019797189,
Canada,CAN,27.48437519,29.46396102,30.452949,31.65795927,32.66655803,33.49477897,34.30517994,35.2986828,36.24507781,36.89030219
Central Europe and the Baltics,CEB,11.47176601,13.45844718,15.9235704,17.19471516,19.29879392,19.99112543,21.09013178,21.85114836,22.52008309,23.30308729
Switzerland,CHE,31.48776817,33.43263433,35.42900296,37.20030373,38.81682952,39.99630214,42.27507459,42.1027485,44.66758632,45.13470366
Channel Islands,CHI,,,,,,,,,,
Chile,CHL,7.896766413,8.565496147,9.83203127,10.52973415,11.72507516,12.51508832,13.14305312,14.13503777,15.3098454,16.21786653
China,CHN,4.968130974,6.16468769,7.690293166,9.291158372,11.44345583,12.7387417,13.66140637,14.42209207,19.83109074,22.98517393
Cote d'Ivoire,CIV,0.052394587,0.051287348,0.050159593,,,0.215546271,0.256215062,0.563024408,0.474747963,0.575542143
Cameroon,CMR,0.003479133,0.004548578,0.004631407,0.029813983,0.052206465,0.065675688,0.078039446,0.073057869,0.070069345,0.196141599
"Congo, Dem. Rep.",COD,,,,0,,,0.000630994,0.000678216,0.001312394,0.001270065
"Congo, Rep.",COG,,,0.00293861,0.005699054,0.029051151,0.030042973,0.009218349,0.01026462,,
Colombia,COL,2.720229054,3.946608161,4.656450528,5.755972422,7.214789882,8.401307766,9.584569675,10.52185379,11.45741715,12.15324251
Comoros,COM,0.01278015,0.016736936,0.009803164,0.047702453,0.056611598,0.170334923,0.175320297,0.20845816,0.257259874,0.356711467
Cabo Verde,CPV,0.787972979,1.500844988,2.207810239,3.198947419,4.198658838,3.862609173,4.076476718,3.623605484,3.108950241,2.880309882
Costa Rica,CRI,2.174177228,2.481968652,4.069592179,8.718098775,9.124755406,9.638638609,10.30262827,10.85294504,11.61965884,13.09555524
Caribbean small states,CSS,3.699413579,4.833832827,6.256356695,6.774505963,7.088966289,8.866830107,9.47365656,10.51796402,12.4516374,13.55171892
Cuba,CUB,0.017215622,0.019858964,0.025471344,0.032700815,0.038935587,0.044042661,0.046967416,0.068122017,0.071169117,0.125723446
Curacao,CUW,,,,,21.11651936,23.25848939,23.88714936,24.70289818,25.31485349,26.80098638
Cayman Islands,CYM,,33.12171711,33.70548463,33.96328391,33.25615511,33.59525755,34.83750493,39.6623403,45.66649434,40.37686168
Cyprus,CYP,9.181963983,18.74455899,21.80944121,23.49341549,24.98810365,25.53304781,26.591832,28.55262541,30.91448227,32.77041657
Czech Republic,CZE,14.45186667,16.88047557,19.41584909,21.4608734,23.74082374,25.09720873,26.95901762,28.25692931,27.7884962,28.93210191
Germany,DEU,24.28118735,27.99195335,30.83358402,32.34071269,33.6781856,34.48624747,35.24507723,36.29027045,37.58200947,39.06504075
Djibouti,DJI,0.134914418,0.297836765,0.631542469,0.946723594,1.305175781,1.691699246,1.974488339,2.203770375,2.605632436,2.865229171
Dominica,DMA,7.04721635,9.848889889,10.24863469,11.63353863,11.58286623,11.79834546,14.73342541,14.81903872,20.71977256,21.0584284
Denmark,DNK,34.79992622,36.48155306,36.60053195,38.02817865,38.38967858,38.84649934,40.30639874,41.34524288,42.27616351,42.54302006
Dominican Republic,DOM,1.828130752,2.481372944,3.230966615,3.945297957,4.227734952,4.762455748,5.122943644,5.765952286,6.516729902,7.206010523
Algeria,DZA,0.836846542,1.391250868,2.306449939,2.491857372,2.663671302,3.073930424,3.33867504,4.089891337,5.691650443,7.042218731
East Asia & Pacific (excluding high income),EAP,3.731096836,4.677316145,5.906097475,7.370342496,8.664820266,9.917438882,10.63442532,11.23414912,14.85747777,17.19614282
Early-demographic dividend,EAR,0.812272427,1.141632931,1.477767389,1.750846474,2.031990567,2.352492843,2.581667232,2.843621462,3.182667038,3.508810391
East Asia & Pacific,EAS,5.774308747,6.92449641,8.178521491,9.698302055,10.86129506,12.09960944,12.81722368,13.44335632,16.63537785,18.81317094
Europe & Central Asia (excluding high income),ECA,3.690069263,5.663792258,7.301971968,8.959370986,10.11343656,11.61569123,13.02512132,13.65077776,14.97888407,15.74898514
Europe & Central Asia,ECS,13.37329553,15.54924618,17.37228303,19.00443876,20.34215721,21.54110321,22.81638733,23.70031423,24.91495279,25.82059029
Ecuador,ECU,0.703955023,1.07975311,1.642015414,1.481918942,4.341487697,5.471610085,6.758291502,8.297916785,9.789543945,9.787801918
"Egypt, Arab Rep.",EGY,0.600262119,0.950842616,1.30660124,1.72591763,2.1481972,2.606409417,2.980001666,3.341457639,4.080277871,4.670525242
Euro area,EMU,21.38162193,24.02089956,26.18256474,27.89354689,29.16596279,30.17216145,31.26025223,32.49205743,33.71813737,34.95323552
Eritrea,ERI,,0.001039541,0.001624004,0.002687413,0.003151056,0.004056148,0.003139111,0.004214035,0.01031571,0.012109848
Spain,ESP,17.74640966,19.86172775,21.08740386,22.76700985,23.80732087,24.59492421,26.23705144,27.95455346,29.18876692,30.44961186
Estonia,EST,19.71241124,21.99427937,23.47791261,26.11534252,26.26717322,26.37920078,27.31226732,28.14172771,29.20420186,30.21809726
Ethiopia,ETH,0.001279006,0.001798403,0.004095239,0.004682868,0.007055224,0.009232598,0.250893361,0.48403062,0.478607674,0.5458814
European Union,EUU,20.2833325,22.76013502,24.74870499,26.36567252,27.88143135,28.86484546,30.05270164,31.15689562,32.29723751,33.36127937
Fragile and conflict affected situations,FCS,,0.099646496,,0.185871117,,,0.458020233,0.75462963,0.755396576,0.878222849
Finland,FIN,30.52087065,30.41409409,29.30383185,29.06193356,29.80010918,30.4379473,31.6410061,32.20862913,31.55614245,31.10955725
Fiji,FJI,1.377555665,1.545165651,1.505926873,2.703645561,2.681394925,1.547168256,1.242106819,1.402903119,1.427340052,1.372112689
France,FRA,25.41923583,28.60600652,31.66818481,33.85388487,35.91366493,37.68077916,39.01757257,40.45605529,41.68192162,42.74367285
Faroe Islands,FRO,29.8526255,30.68577911,32.73491766,33.32440783,33.03365701,33.54292525,34.25851847,35.5493223,36.33615848,36.59221858
"Micronesia, Fed. Sts.",FSM,0.110394183,,,0.963171711,,,1.989354111,2.972648176,3.137897025,3.019907182
Gabon,GAB,0.133159369,0.143190852,0.232991377,0.248870571,0.265158055,0.284605625,0.489745338,0.57578105,0.574144831,0.758566835
United Kingdom,GBR,25.41087095,27.88511079,28.50204074,30.25187656,32.26499573,33.7518391,35.64264753,36.49857667,37.7486059,38.28878857
Georgia,GEO,1.064448866,2.583357639,3.498382348,4.311120385,5.957534134,11.27272825,12.77663122,15.04944712,16.77484434,17.56746119
Ghana,GHA,0.071351757,0.098632367,0.118813591,0.21248686,0.259332573,0.264764583,0.261118745,0.26024974,0.265136042,0.307004769
Gibraltar,GIB,,,28.21034106,31.43511404,33.77937435,35.62739791,,38.19260826,45.50952437,47.67495931
Guinea,GIN,,,,0.00463213,0.005437161,0.006204866,0.006934443,0.007623559,0.00827025,0.008873885
"Gambia, The",GMB,0.017477565,0.018884885,0.018297592,0.020683758,0.025023434,0.027745023,0.023556949,0.143024592,0.180674457,0.183958703
Guinea-Bissau,GNB,,,,0.051417847,0.062650596,0.073436992,0.086351729,0.080834701,0.05936089,0.039709247
Equatorial Guinea,GNQ,0.021704346,0.020727346,0.019799562,0.124697194,0.13537298,0.142500479,0.324614808,0.343626486,0.323212145,0.276874964
Greece,GRC,8.940200408,13.19655502,16.74815455,19.68069208,21.5733526,23.63655523,25.73194774,28.01729043,30.65693808,32.32404149
Grenada,GRD,7.336898809,8.615414221,11.86143284,13.79195048,13.96526291,15.16860856,16.99572274,17.68616021,18.49508065,19.40139959
Greenland,GRL,18.52723664,21.13439243,22.10548583,21.87577245,21.02666572,20.15229325,19.14418407,18.44560321,17.73772993,
Guatemala,GTM,0.416049709,0.674693207,1.089674025,1.77028447,,1.835511572,2.26225416,2.723850868,2.829404762,3.051415323
Guam,GUM,1.699663215,1.697739491,1.88405524,1.881538346,,,1.870615744,1.863736045,,
Guyana,GUY,0.315830714,0.681214609,0.914987803,1.499284715,2.741957015,3.981059394,4.867553731,5.924209418,6.985819387,7.397229805
High income,HIC,21.7110054,23.62404492,25.05564653,26.37083422,27.56998572,28.52240386,29.49506197,30.27826815,31.19155264,32.10093434
"Hong Kong SAR, China",HKG,27.52717769,27.88753492,29.40418188,30.85616808,32.53694018,31.73251319,31.26810939,31.70831918,32.40311738,35.958982
Honduras,HND,,,,0.012202893,0.68597634,0.720427349,0.796866635,1.791896123,2.202686827,2.418404658
Heavily indebted poor countries (HIPC),HPC,0.047972704,0.068771628,0.082315226,0.083893292,0.135327515,0.153929155,0.187235315,0.255710682,0.275809204,0.557766759
Croatia,HRV,8.872682225,12.13090716,16.52476663,19.35841917,20.69923964,21.39454061,22.31798263,23.12336745,23.28166371,24.7740173
Haiti,HTI,,,,,,0,0,0,0.012585121,0.012427017
Hungary,HUN,14.51044889,17.721333,19.84872489,21.75116642,23.36880509,24.27671443,26.38934119,26.29622855,27.78837736,28.857202
IBRD only,IBD,2.669246053,3.505146111,4.416515688,5.383450636,6.416495873,7.151866805,7.71390637,8.193175932,10.17144936,11.3781904
IDA & IBRD total,IBT,2.125996171,2.77877457,3.51315165,4.179167351,5.213178125,5.623448024,6.005576044,6.423001691,7.871520505,8.83503837
IDA total,IDA,0.047440628,0.080059049,0.146919176,0.198666716,0.318120739,0.357884491,0.47198339,0.702015932,0.873022243,1.176992342
IDA blend,IDB,0.059927842,0.121941833,0.208098357,0.326029144,,0.528995873,0.586807211,0.788728925,0.944511696,1.119244104
Indonesia,IDN,0.334251629,0.41563559,0.778732045,0.940242963,1.113673322,1.198554027,1.29023164,1.332648112,1.542829021,2.001946985
IDA only,IDX,0.040213912,0.055961474,0.110274659,0.131921194,0.192929063,0.260421474,0.411273182,0.655323881,0.837685168,1.205672441
Isle of Man,IMN,,,,,,,,,,
India,IND,0.265325911,0.441048628,0.637890186,0.892784109,1.070461941,1.186175525,1.167535683,1.21728847,1.294274358,1.40867811
Not classified,INX,,,,,,,,,,
Ireland,IRL,17.25123708,19.85132715,21.37406569,22.04408627,22.96531598,23.77200057,25.39983729,26.86011087,27.86036573,28.78304167
"Iran, Islamic Rep.",IRN,0.277657833,0.411830281,0.54283243,1.324369,2.807873333,4.975165713,6.665113199,9.47035274,10.87929438,11.60842248
Iraq,IRQ,0.000345187,0.000185494,0.000404755,0.0101324,,,,,,
Iceland,ISL,32.77391874,34.10178716,33.87432534,34.09380385,34.50148106,34.84207099,35.91944445,36.42676864,37.68013251,38.5061689
Israel,ISR,22.07958328,23.72696519,23.70700182,23.72757512,24.82606826,25.15876845,25.61019191,26.8342994,26.94509685,27.5640553
Italy,ITA,17.06546422,18.95094121,20.26184029,21.92879679,22.62169689,23.04114951,23.48490983,24.13749394,25.04053158,26.18760767
Jamaica,JAM,3.342428499,3.488127042,4.001345182,4.141863759,4.179865439,4.331092801,4.937781554,5.295226875,7.969890673,9.928245565
Jordan,JOR,1.434123378,2.247180277,3.489106475,4.083264763,3.915699432,3.757163056,3.903053487,3.993311164,3.495954168,4.828887068
Japan,JPN,22.02478325,23.42867365,25.56121724,26.52763994,27.77798776,28.13472113,28.77235589,29.48508263,30.37514496,31.15933412
Kazakhstan,KAZ,1.706735314,2.107970064,3.567339256,5.302770124,7.168695615,9.676039713,11.38370282,12.28286336,12.96363736,13.06390087
Kenya,KEN,0.04657103,0.008383481,0.045231771,0.016604534,0.127437111,0.124518207,0.165400874,0.221215989,0.286023921,0.325779808
Kyrgyz Republic,KGZ,0.060022506,0.361667364,0.324952474,0.425148787,0.708967292,0.976277183,2.396280803,2.956170213,3.606249598,4.044388148
Cambodia,KHM,0.061783941,0.11954893,0.212913819,0.249260242,0.151328742,0.201219934,0.217324565,0.432924557,0.538123238,0.613524489
Kiribati,KIR,0.523304711,0.695855343,0.760679341,0.824143709,0.812184681,0.750377534,0.644953241,0.45266074,0.104086044,0.057694829
St. Kitts and Nevis,KNA,19.28369122,22.06151156,25.54730181,28.37982311,24.2279737,24.71905839,25.01457616,26.08533839,30.16504568,29.91554331
"Korea, Rep.",KOR,29.98220492,31.44097953,33.10820822,34.69885237,35.90239105,36.5402223,37.34860893,38.10404013,39.57890812,40.47038073
Kuwait,KWT,1.398093001,1.508102279,1.596345292,1.53431376,1.47286897,1.384162122,1.306141505,1.269018758,1.397430861,2.501860541
Latin America & Caribbean (excluding high income),LAC,3.428874862,4.736172318,5.679373599,6.455224505,7.779440572,8.231511487,8.904903635,9.576533241,10.32287287,10.88876329
Lao PDR,LAO,0.019076313,0.047850448,0.070171891,0.094216168,0.103355387,0.118126272,0.138962519,0.171628933,0.55280886,0.361419417
Lebanon,LBN,1.223551107,2.432470366,4.709362979,7.633807617,8.768455364,9.685636087,9.097625482,20.20493714,21.93048971,21.64261451
Liberia,LBR,,0.003003009,0.00393543,0.004711097,0.001547848,0.012531199,0.118517385,0.136651318,0.155568658,0.173392001
Libya,LBY,,0.763941915,1.029234676,1.180067238,1.130216981,1.085788943,1.044227135,1.01223254,0.978355096,2.684144432
St. Lucia,LCA,6.622112764,9.175629358,10.86760768,11.87333411,12.27622072,14.05496611,14.06353182,15.98392482,16.04121757,16.73229784
